
iteration,x,y,theta
151,-1076.853638,-718.397156,-4.514883
152,-1076.853638,-718.397156,-4.514883
153,-1076.853638,-718.397156,-4.514883
154,-1076.853638,-718.397156,-4.514883
155,-1076.853638,-718.397156,-4.514883
156,-1076.853638,-718.397156,-4.514883
157,-1076.853638,-718.397156,-4.514883
158,-1076.853638,-718.397156,-4.514883
159,-1076.853638,-718.397095,-4.514883
160,-1076.853638,-718.397095,-4.514883
161,-1076.853638,-718.397095,-4.514883
162,-1076.853638,-718.397095,-4.514883
163,-1076.853638,-718.397095,-4.514883
164,-1076.853638,-718.397095,-4.514883
165,-1076.853638,-718.397095,-4.514883
166,-1076.853638,-718.397095,-4.514883
167,-1076.853638,-718.397095,-4.514883
168,-1076.853638,-718.397095,-4.514883
169,-1076.853638,-718.397095,-4.514883
170,-1076.853638,-718.397095,-4.514883
171,-1076.853638,-718.397095,-4.514883
172,-1076.853638,-718.397095,-4.514883
173,-1076.853638,-718.397095,-4.514883
174,-1076.853638,-718.397095,-4.514883
175,-1076.853638,-718.397095,-4.514883
176,-1076.853638,-718.397095,-4.514883
177,-1076.853638,-718.397095,-4.514883
178,-1076.853638,-718.397095,-4.514883
179,-1076.853638,-718.397095,-4.514883
180,-1076.853638,-718.397095,-4.514883
181,-1076.853638,-718.397095,-4.514883
182,-1076.853638,-718.397095,-4.514883
183,-1076.853638,-718.397095,-4.514883
184,-1076.853638,-718.397095,-4.514883
185,-1076.853638,-718.397095,-4.514883
186,-1076.853638,-718.397095,-4.514883
187,-1076.853638,-718.397095,-4.514883
188,-1076.853638,-718.397095,-4.514883
189,-1076.853638,-718.397095,-4.514883
190,-1076.853638,-718.397095,-4.514883
191,-1076.853638,-718.397095,-4.514883
192,-1076.853638,-718.397095,-4.514883
193,-1076.853638,-718.397095,-4.514883
194,-1076.853638,-718.397095,-4.514883
195,-1076.853638,-718.397095,-4.514883
196,-1076.853638,-718.397095,-4.514883
197,-1076.853638,-718.397095,-4.514883
198,-1076.853638,-718.397095,-4.514883
199,-1076.853638,-718.397095,-4.514883
200,-1076.853638,-718.397095,-4.514883
201,-1076.853638,-718.397095,-4.514883
202,-1076.853638,-718.397095,-4.514883
203,-1076.853638,-718.397095,-4.514883
204,-1076.853638,-718.397095,-4.514883
205,-1076.853638,-718.397095,-4.514883
206,-1076.853638,-718.397095,-4.514883
207,-1076.853638,-718.397095,-4.514883
208,-1076.853638,-718.397095,-4.514883
209,-1076.853638,-718.397095,-4.514883
210,-1076.853638,-718.397095,-4.514883
211,-1076.853638,-718.397095,-4.514883
212,-1076.853638,-718.397095,-4.514883
213,-1076.853638,-718.397095,-4.514883
214,-1076.853638,-718.397095,-4.514883
215,-1076.853638,-718.397095,-4.514883
216,-1076.853638,-718.397095,-4.514883
217,-1076.853638,-718.397095,-4.514883
218,-1076.853638,-718.397095,-4.514883
219,-1076.853638,-718.397095,-4.514883
220,-1076.853638,-718.397095,-4.514883
221,-1076.853638,-718.397095,-4.514883
222,-1076.853638,-718.397095,-4.514883
223,-1076.853638,-718.397095,-4.514883
224,-1076.853638,-718.397095,-4.514883
225,-1076.853638,-718.397095,-4.514883
226,-1076.853638,-718.397095,-4.514883
227,-1076.853638,-718.397095,-4.514883
228,-1076.853638,-718.397095,-4.514883
229,-1076.853638,-718.397095,-4.514883
230,-1076.853638,-718.397095,-4.514883
231,-1076.853638,-718.397095,-4.514883
232,-1076.853638,-718.397095,-4.514883
233,-1076.853638,-718.397095,-4.514883
234,-1076.853638,-718.397095,-4.514883
235,-1076.853638,-718.397095,-4.514883
236,-1076.853638,-718.397095,-4.514883
237,-1076.853638,-718.397095,-4.514883
238,-1076.853638,-718.397095,-4.514883
239,-1076.853638,-718.397095,-4.514883
240,-1076.853638,-718.397095,-4.514883
241,-1076.853638,-718.397095,-4.514883
242,-1076.853638,-718.397095,-4.514883
243,-1076.853638,-718.397095,-4.514883
244,-1076.853638,-718.397095,-4.514883
245,-1076.853638,-718.397095,-4.514883
246,-1076.853638,-718.397095,-4.514883
247,-1076.853638,-718.397095,-4.514883
248,-1076.853638,-718.397095,-4.514883
249,-1076.853638,-718.397095,-4.514883
250,-1076.853638,-718.397095,-4.514883
251,-1076.853638,-718.397095,-4.514883
252,-1076.853638,-718.397095,-4.514883
253,-1076.853638,-718.397095,-4.514883
254,-1076.853638,-718.397095,-4.514883
255,-1076.853638,-718.397095,-4.514883
256,-1076.853638,-718.397095,-4.514883
257,-1076.853638,-718.397095,-4.514883
258,-1076.853638,-718.397095,-4.514883
259,-1076.853638,-718.397095,-4.514883
260,-1076.853638,-718.397095,-4.514883
261,-1076.853638,-718.397095,-4.514883
262,-1076.853638,-718.397095,-4.514883
263,-1076.853638,-718.397095,-4.514883
264,-1076.853638,-718.397095,-4.514883
265,-1076.853638,-718.397095,-4.514883
266,-1076.853638,-718.397095,-4.514883
267,-1076.853638,-718.397095,-4.514883
268,-1076.853638,-718.397095,-4.514883
269,-1076.853638,-718.397095,-4.514883
270,-1076.853638,-718.397095,-4.514883
271,-1076.853638,-718.397095,-4.514883
272,-1076.853638,-718.397095,-4.514883
273,-1076.853638,-718.397095,-4.514883
274,-1076.853638,-718.397095,-4.514883
275,-1076.853638,-718.397095,-4.514883
276,-1076.853638,-718.397095,-4.514883
277,-1076.853638,-718.397095,-4.514883
278,-1076.853638,-718.397095,-4.514883
279,-1076.853638,-718.397095,-4.514883
280,-1076.853638,-718.397095,-4.514883
281,-1076.853638,-718.397095,-4.514883
282,-1076.853638,-718.397095,-4.514883
283,-1076.853638,-718.397095,-4.514883
284,-1076.853638,-718.397095,-4.514883
285,-1076.853638,-718.397095,-4.514883
286,-1076.853638,-718.397095,-4.514883
287,-1076.853638,-718.397095,-4.514883
288,-1076.853638,-718.397095,-4.514883
289,-1076.853638,-718.397095,-4.514883
290,-1076.853638,-718.397095,-4.514883
291,-1076.853638,-718.397095,-4.514883
292,-1076.853638,-718.397095,-4.514883
293,-1076.853638,-718.397095,-4.514883
294,-1076.853638,-718.397095,-4.514883
295,-1076.853638,-718.397095,-4.514883
296,-1076.853638,-718.397095,-4.514883
297,-1076.853638,-718.397095,-4.514883
298,-1076.853638,-718.397095,-4.514883
299,-1076.853638,-718.397095,-4.514883
300,-1076.853638,-718.397095,-4.514883
301,-1076.853638,-718.397095,-4.514883
302,-1076.853638,-718.397095,-4.514883
303,-1076.853638,-718.397095,-4.514883
304,-1076.853638,-718.397095,-4.514883
305,-1076.853638,-718.397095,-4.514883
306,-1076.853638,-718.397095,-4.514883
307,-1076.853638,-718.397095,-4.514883
308,-1076.853638,-718.397095,-4.514883
309,-1076.853638,-718.397095,-4.514883
310,-1076.853638,-718.397095,-4.514883
311,-1076.853638,-718.397095,-4.514883
312,-1076.853638,-718.397095,-4.514883
313,-1076.853638,-718.397095,-4.514883
314,-1076.853638,-718.397095,-4.514883
315,-1076.853638,-718.397095,-4.514883
316,-1076.853638,-718.397095,-4.514883
317,-1076.853638,-718.397095,-4.514883
318,-1076.853638,-718.397095,-4.514883
319,-1076.853638,-718.397095,-4.514883
