
iteration,x,y,theta
149,2288.014648,-225.932404,8.313945
150,2288.014648,-225.932388,8.313945
151,2288.014648,-225.932388,8.313945
152,2288.014648,-225.932388,8.313945
153,2288.014648,-225.932388,8.313945
154,2288.014648,-225.932373,8.313945
155,2288.014648,-225.932373,8.313945
156,2288.014648,-225.932373,8.313945
157,2288.014648,-225.932373,8.313945
158,2288.014648,-225.932373,8.313945
159,2288.014648,-225.932373,8.313945
160,2288.014648,-225.932373,8.313945
161,2288.014648,-225.932373,8.313945
162,2288.014648,-225.932358,8.313945
163,2288.014648,-225.932358,8.313945
164,2288.014648,-225.932358,8.313945
165,2288.014648,-225.932358,8.313945
166,2288.014648,-225.932358,8.313945
167,2288.014648,-225.932358,8.313945
168,2288.014648,-225.932358,8.313945
169,2288.014648,-225.932358,8.313945
170,2288.014648,-225.932358,8.313945
171,2288.014648,-225.932358,8.313945
172,2288.014648,-225.932358,8.313945
173,2288.014648,-225.932358,8.313945
174,2288.014648,-225.932358,8.313945
175,2288.014648,-225.932358,8.313945
176,2288.014648,-225.932358,8.313945
177,2288.014648,-225.932358,8.313945
178,2288.014648,-225.932358,8.313945
179,2288.014648,-225.932358,8.313945
180,2288.014648,-225.932358,8.313945
181,2288.014648,-225.932358,8.313945
182,2288.014648,-225.932343,8.313945
183,2288.014648,-225.932343,8.313945
184,2288.014648,-225.932343,8.313945
185,2288.014648,-225.932343,8.313945
186,2288.014648,-225.932343,8.313945
187,2288.014648,-225.932343,8.313945
188,2288.014648,-225.932343,8.313945
189,2288.014648,-225.932343,8.313945
190,2288.014648,-225.932343,8.313945
191,2288.014648,-225.932343,8.313945
192,2288.014648,-225.932343,8.313945
193,2288.014648,-225.932343,8.313945
194,2288.014648,-225.932343,8.313945
195,2288.014648,-225.932343,8.313945
196,2288.014648,-225.932343,8.313945
197,2288.014648,-225.932343,8.313945
198,2288.014648,-225.932343,8.313945
199,2288.014648,-225.932343,8.313945
200,2288.014648,-225.932343,8.313945
201,2288.014648,-225.932343,8.313945
202,2288.014648,-225.932343,8.313945
203,2288.014648,-225.932343,8.313945
204,2288.014648,-225.932343,8.313945
205,2288.014648,-225.932343,8.313945
206,2288.014648,-225.932343,8.313945
207,2288.014648,-225.932343,8.313945
208,2288.014648,-225.932343,8.313945
209,2288.014648,-225.932343,8.313945
210,2288.014648,-225.932343,8.313945
211,2288.014648,-225.932343,8.313945
212,2288.014648,-225.932343,8.313945
213,2288.014648,-225.932343,8.313945
214,2288.014648,-225.932343,8.313945
215,2288.014648,-225.932343,8.313945
216,2288.014648,-225.932343,8.313945
217,2288.014648,-225.932343,8.313945
218,2288.014648,-225.932343,8.313945
219,2288.014648,-225.932343,8.313945
220,2288.014648,-225.932343,8.313945
221,2288.014648,-225.932343,8.313945
222,2288.014648,-225.932343,8.313945
223,2288.014648,-225.932343,8.313945
224,2288.014648,-225.932343,8.313945
225,2288.014648,-225.932343,8.313945
226,2288.014648,-225.932343,8.313945
227,2288.014648,-225.932343,8.313945
228,2288.014648,-225.932343,8.313945
229,2288.014648,-225.932343,8.313945
230,2288.014648,-225.932343,8.313945
231,2288.014648,-225.932343,8.313945
232,2288.014648,-225.932343,8.313945
233,2288.014648,-225.932343,8.313945
234,2288.014648,-225.932343,8.313945
235,2288.014648,-225.932343,8.313945
236,2288.014648,-225.932343,8.313945
237,2288.014648,-225.932343,8.313945
238,2288.014648,-225.932343,8.313945
239,2288.014648,-225.932343,8.313945
240,2288.014648,-225.932343,8.313945
241,2288.014648,-225.932343,8.313945
242,2288.014648,-225.932343,8.313945
243,2288.014648,-225.932343,8.313945
244,2288.014648,-225.932343,8.313945
245,2288.014648,-225.932343,8.313945
246,2288.014648,-225.932343,8.313945
247,2288.014648,-225.932343,8.313945
248,2288.014648,-225.932343,8.313945
249,2288.014648,-225.932343,8.313945
250,2288.014648,-225.932343,8.313945
251,2288.014648,-225.932343,8.313945
252,2288.014648,-225.932343,8.313945
253,2288.014648,-225.932343,8.313945
254,2288.014648,-225.932343,8.313945
255,2288.014648,-225.932343,8.313945
256,2288.014648,-225.932343,8.313945
257,2288.014648,-225.932343,8.313945
258,2288.014648,-225.932343,8.313945
259,2288.014648,-225.932343,8.313945
260,2288.014648,-225.932343,8.313945
261,2288.014648,-225.932343,8.313945
262,2288.014648,-225.932343,8.313945
263,2288.014648,-225.932343,8.313945
264,2288.014648,-225.932343,8.313945
265,2288.014648,-225.932343,8.313945
266,2288.014648,-225.932343,8.313945
267,2288.014648,-225.932343,8.313945
268,2288.014648,-225.932343,8.313945
269,2288.014648,-225.932343,8.313945
270,2288.014648,-225.932343,8.313945
271,2288.014648,-225.932343,8.313945
272,2288.014648,-225.932343,8.313945
273,2288.014648,-225.932343,8.313945
274,2288.014648,-225.932343,8.313945
275,2288.014648,-225.932343,8.313945
276,2288.014648,-225.932343,8.313945
277,2288.014648,-225.932343,8.313945
278,2288.014648,-225.932343,8.313945
279,2288.014648,-225.932343,8.313945
280,2288.014648,-225.932343,8.313945
281,2288.014648,-225.932343,8.313945
282,2288.014648,-225.932343,8.313945
283,2288.014648,-225.932343,8.313945
284,2288.014648,-225.932343,8.313945
285,2288.014648,-225.932343,8.313945
286,2288.014648,-225.932343,8.313945
287,2288.014648,-225.932343,8.313945
288,2288.014648,-225.932343,8.313945
289,2288.014648,-225.932343,8.313945
290,2288.014648,-225.932343,8.313945
291,2288.014648,-225.932343,8.313945
292,2288.014648,-225.932343,8.313945
293,2288.014648,-225.932343,8.313945
294,2288.014648,-225.932343,8.313945
295,2288.014648,-225.932343,8.313945
296,2288.014648,-225.932343,8.313945
297,2288.014648,-225.932343,8.313945
298,2288.014648,-225.932343,8.313945
299,2288.014648,-225.932343,8.313945
300,2288.014648,-225.932343,8.313945
301,2288.014648,-225.932343,8.313945
302,2288.014648,-225.932343,8.313945
303,2288.014648,-225.932343,8.313945
304,2288.014648,-225.932343,8.313945
305,2288.014648,-225.932343,8.313945
306,2288.014648,-225.932343,8.313945
307,2288.014648,-225.932343,8.313945
308,2288.014648,-225.932343,8.313945
309,2288.014648,-225.932343,8.313945
310,2288.014648,-225.932343,8.313945
311,2288.014648,-225.932343,8.313945
312,2288.014648,-225.932343,8.313945
313,2288.014648,-225.932343,8.313945
314,2288.014648,-225.932343,8.313945
315,2288.014648,-225.932343,8.313945
316,2288.014648,-225.932343,8.313945
317,2288.014648,-225.932343,8.313945
318,2288.014648,-225.932343,8.313945
319,2288.014648,-225.932343,8.313945
320,2288.014648,-225.932343,8.313945
321,2288.014648,-225.932343,8.313945
322,2288.014648,-225.932343,8.313945
323,2288.014648,-225.932343,8.313945
324,2288.014648,-225.932343,8.313945
325,2288.014648,-225.932343,8.313945
326,2288.014648,-225.932343,8.313945
327,2288.014648,-225.932343,8.313945
328,2288.014648,-225.932343,8.313945
329,2288.014648,-225.932343,8.313945
330,2288.014648,-225.932343,8.313945
331,2288.014648,-225.932343,8.313945
332,2288.014648,-225.932343,8.313945
333,2288.014648,-225.932343,8.313945
334,2288.014648,-225.932343,8.313945
335,2288.014648,-225.932343,8.313945
336,2288.014648,-225.932343,8.313945
337,2288.014648,-225.932343,8.313945
338,2288.014648,-225.932343,8.313945
339,2288.014648,-225.932343,8.313945
340,2288.014648,-225.932343,8.313945
341,2288.014648,-225.932343,8.313945
342,2288.014648,-225.932343,8.313945
343,2288.014648,-225.932343,8.313945
344,2288.014648,-225.932343,8.313945
345,2288.014648,-225.932343,8.313945
346,2288.014648,-225.932343,8.313945
347,2288.014648,-225.932343,8.313945
348,2288.014648,-225.932343,8.313945
349,2288.014648,-225.932343,8.313945
350,2288.014648,-225.932343,8.313945
351,2288.014648,-225.932343,8.313945
352,2288.014648,-225.932343,8.313945
353,2288.014648,-225.932343,8.313945
354,2288.014648,-225.932343,8.313945
355,2288.014648,-225.932343,8.313945
356,2288.014648,-225.932343,8.313945
357,2288.014648,-225.932343,8.313945
358,2288.014648,-225.932343,8.313945
359,2288.014648,-225.932343,8.313945
